Date,CoinName,Open,High,Low,Close,Adj Close,Volume,High-Low,rt-1,rt-2,rt-3,rt-4,rt-5,MA(Last 5 days),log returns (last 3),log returns (last 5 ),last 5- last 3,Up/Down
09-11-2017,ADA,0.02516,0.03506,0.025006,0.032053,0.032053,18716200,0.010054,0,0,0,0,0,0,0,0,0,1
10-11-2017,ADA,0.032219,0.033348,0.026451,0.027119,0.027119,6766780,0.006897,0,0,0,0,0,0,0,0,0,-1
11-11-2017,ADA,0.026891,0.029659,0.025684,0.027437,0.027437,5532220,0.003975,-0.167156193,0,0,0,0,0,-0.167156193,-0.167156193,0,1
12-11-2017,ADA,0.02748,0.027952,0.022591,0.023977,0.023977,7280250,0.005361,0.011657878,-0.167156193,0,0,0,0,-0.155498315,-0.155498315,0,-1
13-11-2017,ADA,0.024364,0.0263,0.023495,0.025808,0.025808,4419440,0.002805,-0.13479743,0.011657878,-0.167156193,0,0,0,-0.290295745,-0.290295745,0,1
14-11-2017,ADA,0.025797,0.026788,0.025342,0.02623,0.02623,3033290,0.001446,0.073589484,-0.13479743,0.011657878,-0.167156193,0,0.0272788,-0.049550068,-0.216706261,-0.167156193,1
15-11-2017,ADA,0.026116,0.027773,0.025261,0.026445,0.026445,6858800,0.002512,0.016219272,0.073589484,-0.13479743,0.011657878,-0.167156193,0.0261142,-0.044988674,-0.200486989,-0.155498315,1
16-11-2017,ADA,0.026583,0.02817,0.025654,0.02758,0.02758,4888130,0.002516,0.008163311,0.016219272,0.073589484,-0.13479743,0.011657878,0.0259794,0.097972067,-0.025167485,-0.123139552,1
17-11-2017,ADA,0.027143,0.027436,0.025184,0.025773,0.025773,3578870,0.002252,0.042023768,0.008163311,0.016219272,0.073589484,-0.13479743,0.026008,0.066406351,0.005198405,-0.061207946,-1
18-11-2017,ADA,0.025597,0.027122,0.024748,0.026369,0.026369,2930550,0.002374,-0.06776344,0.042023768,0.008163311,0.016219272,0.073589484,0.0263672,-0.017576362,0.072232395,0.089808756,1
19-11-2017,ADA,0.026243,0.028478,0.025581,0.028084,0.028084,4725050,0.002897,0.022861645,-0.06776344,0.042023768,0.008163311,0.016219272,0.0264794,-0.002878027,0.021504556,0.024382583,1
20-11-2017,ADA,0.028152,0.0323,0.027612,0.029581,0.029581,16172400,0.004688,0.063010941,0.022861645,-0.06776344,0.042023768,0.008163311,0.0268502,0.018109147,0.068296225,0.050187078,1
21-11-2017,ADA,0.029587,0.029709,0.027404,0.02833,0.02833,5836790,0.002305,0.051932244,0.063010941,0.022861645,-0.06776344,0.042023768,0.0274774,0.137804831,0.112065159,-0.025739672,-1
22-11-2017,ADA,0.028399,0.029034,0.027891,0.028549,0.028549,4938480,0.001143,-0.043210949,0.051932244,0.063010941,0.022861645,-0.06776344,0.0276274,0.071732236,0.026830441,-0.044901795,1
